date,train_id,reason
2018_03_01,3293,empty file
2018_03_01,3297,empty file
2018_03_01,4398,empty file
2018_03_01,A639,empty file
2018_03_02,A2110,no departures
2018_03_02,A20,no departures
2018_03_02,3361,missing state
2018_03_02,6291,missing state
2018_03_02,6253,missing state
2018_03_02,A639,empty file
2018_03_02,6655,no departures
2018_03_02,3515,no departures
2018_03_02,3255,no departures
2018_03_02,3297,empty file
2018_03_02,3855,missing state
2018_03_02,3842,missing state
2018_03_02,3725,missing state
2018_03_02,6650,missing state
2018_03_02,A2164,no departures
2018_03_02,A174,no departures
2018_03_02,A186,
2018_03_02,3293,empty file
2018_03_03,0979,empty file
2018_03_03,A164,no departures
2018_03_03,A155,no departures
2018_03_03,A43,no departures
2018_03_03,A162,no departures
2018_03_03,3297,empty file
2018_03_03,0449,empty file
2018_03_03,A2203,no departures
2018_03_03,A665,no departures
2018_03_03,A662,no departures
2018_03_03,6299,empty file
2018_03_03,A639,empty file
2018_03_03,A663,no departures
2018_03_03,A2248,no departures
2018_03_03,0975,empty file
2018_03_03,4780,empty file
2018_03_03,A169,no departures
2018_03_03,A91,no departures
2018_03_03,A98,no departures
2018_03_03,A54,no departures
2018_03_03,A143,no departures
2018_03_03,A2208,no departures
2018_03_04,5503,empty file
2018_03_04,1701,empty file
2018_03_04,7200,empty file
2018_03_04,7800,empty file
2018_03_04,7801,empty file
2018_03_04,7201,empty file
2018_03_04,7813,no departures
2018_03_04,7805,empty file
2018_03_04,7205,empty file
2018_03_04,0069,empty file
2018_03_04,4652,empty file
2018_03_05,A80,no departures
2018_03_05,6945,empty file
2018_03_05,6944,empty file
2018_03_05,1739,empty file
2018_03_05,0709,empty file
2018_03_05,4398,empty file
2018_03_05,0707,empty file
2018_03_05,0544,empty file
2018_03_05,0746,empty file
2018_03_05,4785,empty file
2018_03_05,7885,empty file
2018_03_05,7876,empty file
2018_03_05,7285,empty file
2018_03_05,7276,empty file
2018_03_05,A92,no departures
2018_03_05,4202,empty file
2018_03_05,5543,empty file
2018_03_05,7883,empty file
2018_03_05,4279,empty file
2018_03_05,4705,empty file
2018_03_05,0509,empty file
2018_03_05,0745,empty file
2018_03_05,4201,empty file
2018_03_05,6909,empty file
2018_03_05,6907,empty file
2018_03_05,A90,no departures
2018_03_05,1786,empty file
2018_03_05,4200,empty file
2018_03_05,7887,empty file
2018_03_05,7880,empty file
2018_03_06,A80,empty file
2018_03_06,3955,empty file
2018_03_06,3723,no departures
2018_03_06,3173,no departures
2018_03_06,A186,no departures
2018_03_06,A92,no departures
2018_03_06,A66,no departures
2018_03_06,3951,no departures
2018_03_06,3361,no departures
2018_03_06,3957,no departures
2018_03_06,3165,no departures
2018_03_06,4398,empty file
2018_03_06,3373,no departures
2018_03_06,6639,no departures
2018_03_06,3855,no departures
2018_03_06,3297,empty file
2018_03_07,1636,empty file
2018_03_07,A643,empty file
2018_03_07,0451,empty file
2018_03_07,3888,empty file
2018_03_07,1183,empty file
2018_03_07,0069,empty file
2018_03_07,7805,empty file
2018_03_07,7205,empty file
2018_03_07,3292,empty file
2018_03_07,3895,empty file
2018_03_07,3892,empty file
2018_03_07,0684,empty file
2018_03_07,0442,empty file
2018_03_07,7868,no departures
2018_03_07,A66,no departures
2018_03_07,A92,
2018_03_07,8551,no departures
2018_03_07,6683,empty file
2018_03_07,0453,empty file
2018_03_07,7201,empty file
2018_03_07,3897,empty file
2018_03_07,3297,empty file
2018_03_07,1701,empty file
2018_03_07,5503,empty file
2018_03_07,7200,empty file
2018_03_07,7800,empty file
2018_03_07,6601,missing state
2018_03_07,A639,empty file
2018_03_07,A90,empty file
2018_03_07,6299,empty file
2018_03_07,9225,empty file
2018_03_07,3742,empty file
2018_03_08,A639,empty file
2018_03_08,4398,empty file
2018_03_08,6944,empty file
2018_03_08,A190,missing state
2018_03_08,3924,missing state
2018_03_08,7868,empty file
2018_03_09,3297,empty file
2018_03_09,3846,missing state
2018_03_09,3293,empty file
2018_03_09,A186,no departures
2018_03_09,A92,no departures
2018_03_09,A66,no departures
2018_03_09,A89,no departures
2018_03_09,A20,no departures
2018_03_10,4780,empty file
2018_03_10,A92,empty file
2018_03_10,7848,missing state
2018_03_10,7224,missing state
2018_03_10,3297,empty file
2018_03_11,A89,empty file
2018_03_11,7817,empty file
2018_03_11,7221,empty file
2018_03_11,7821,empty file
2018_03_11,4652,empty file
2018_03_11,A160,empty file
2018_03_11,6912,empty file
2018_03_11,7205,empty file
2018_03_11,7805,empty file
2018_03_11,6913,empty file
2018_03_11,A51,empty file
2018_03_11,A661,empty file
2018_03_11,A79,empty file
2018_03_11,7814,empty file
2018_03_11,A162,empty file
2018_03_11,7212,empty file
2018_03_11,7812,empty file
2018_03_11,7201,empty file
2018_03_11,7801,empty file
2018_03_11,1701,empty file
2018_03_11,5503,empty file
2018_03_11,7800,empty file
2018_03_11,7200,empty file
2018_03_12,0709,empty file
2018_03_12,0707,empty file
2018_03_12,4398,empty file
2018_03_12,3297,no departures
2018_03_12,6944,empty file
2018_03_12,6945,empty file
2018_03_12,7883,empty file
2018_03_12,4202,empty file
2018_03_12,5543,empty file
2018_03_12,7885,empty file
2018_03_12,7876,empty file
2018_03_12,7285,empty file
2018_03_12,7276,empty file
2018_03_12,0746,empty file
2018_03_12,4785,empty file
2018_03_12,0544,empty file
2018_03_12,4705,empty file
2018_03_12,0509,empty file
2018_03_12,4279,empty file
2018_03_12,7887,empty file
2018_03_12,7880,empty file
2018_03_12,1786,empty file
2018_03_12,4200,empty file
2018_03_12,4201,empty file
2018_03_12,6909,empty file
2018_03_12,6907,empty file
2018_03_12,0745,empty file
2018_03_13,A177,empty file
2018_03_13,4398,empty file
2018_03_13,5431,empty file
2018_03_13,5101.,empty file
2018_03_13,A66,empty file
2018_03_14,A639,empty file
2018_03_14,4398,empty file
2018_03_14,A66,empty file
2018_03_14,3297,empty file
2018_03_14,3293,empty file
2018_03_15,3297,empty file
2018_03_15,4398,empty file
2018_03_15,A639,empty file
2018_03_15,A84,no departures
2018_03_15,3293,empty file
2018_03_16,6233,empty file
2018_03_16,A111,no departures
2018_03_16,A89,no departures
2018_03_16,3293,empty file
2018_03_16,A151,no departures
2018_03_16,6219,empty file
2018_03_16,A639,empty file
2018_03_16,6231,empty file
2018_03_16,6209,empty file
2018_03_16,A79,no departures
2018_03_16,3297,empty file
2018_03_16,6215,empty file
2018_03_17,4780,empty file
2018_03_17,3297,empty file
2018_03_17,6299,empty file
2018_03_17,A639,empty file
2018_03_18,5503,empty file
2018_03_18,1701,empty file
2018_03_18,7800,empty file
2018_03_18,7200,empty file
2018_03_18,7201,empty file
2018_03_18,7801,empty file
2018_03_18,0069,empty file
2018_03_18,4652,empty file
2018_03_18,7205,empty file
2018_03_18,7805,empty file
2018_03_19,0544,empty file
2018_03_19,4785,empty file
2018_03_19,0746,empty file
2018_03_19,7276,empty file
2018_03_19,7285,empty file
2018_03_19,7876,empty file
2018_03_19,7885,empty file
2018_03_19,5543,empty file
2018_03_19,4202,empty file
2018_03_19,1739,empty file
2018_03_19,6944,empty file
2018_03_19,0707,empty file
2018_03_19,4398,empty file
2018_03_19,0709,empty file
2018_03_19,0745,empty file
2018_03_19,6907,empty file
2018_03_19,6909,empty file
2018_03_19,4201,empty file
2018_03_19,1786,empty file
2018_03_19,4200,empty file
2018_03_19,7880,empty file
2018_03_19,7887,empty file
2018_03_19,A20,
2018_03_19,4279,empty file
2018_03_19,0509,empty file
2018_03_19,4705,empty file
2018_03_20,4398,empty file
2018_03_20,A66,no departures
2018_03_20,A20,no departures
2018_03_21,3895,empty file
2018_03_21,3892,empty file
2018_03_21,A90,empty file
2018_03_21,3292,empty file
2018_03_21,0442,empty file
2018_03_21,0684,empty file
2018_03_21,1636,empty file
2018_03_21,3888,empty file
2018_03_21,0440,empty file
2018_03_21,3297,empty file
2018_03_21,3897,empty file
2018_03_21,A639,empty file
2018_03_21,3742,empty file
2018_03_21,6299,empty file
2018_03_21,6683,empty file
2018_03_21,0453,empty file
2018_03_22,4398,empty file
2018_03_22,A639,empty file
2018_03_22,3297,empty file
2018_03_22,3293,empty file
2018_03_23,3297,empty file
2018_03_23,A639,empty file
2018_03_23,A92,
2018_03_23,3293,empty file
2018_03_24,A639,empty file
2018_03_24,A98,no departures
2018_03_24,0453,empty file
2018_03_24,3895,empty file
2018_03_24,3892,empty file
2018_03_24,3292,empty file
