date,train_id,reason
2019_05_01,3293,empty file
2019_05_01,4165,no departures
2019_05_01,4153,no departures
2019_05_01,2406,no departures
2019_05_01,4107,no departures
2019_05_01,4109,no departures
2019_05_01,4131,no departures
2019_05_01,4155,no departures
2019_05_01,3714,no departures
2019_05_01,4163,no departures
2019_05_01,4137,no departures
2019_05_01,4101,no departures
2019_05_01,4139,no departures
2019_05_01,4123,no departures
2019_05_01,4115,no departures
2019_05_01,4179,no departures
2019_05_01,4141,no departures
2019_05_01,4177,no departures
2019_05_01,4113,no departures
2019_05_01,5451,no departures
2019_05_01,4125,no departures
2019_05_01,5458,no departures
2019_05_01,4171,no departures
2019_05_01,4149,no departures
2019_05_01,4147,no departures
2019_05_01,3297,empty file
2019_05_01,4103,no departures
2019_05_01,4135,no departures
2019_05_01,4161,no departures
2019_05_01,4398,empty file
2019_05_01,4159,no departures
2019_05_01,4157,no departures
2019_05_01,A639,empty file
2019_05_01,4133,no departures
2019_05_01,4105,no departures
2019_05_01,4169,no departures
2019_05_01,4151,no departures
2019_05_01,4167,no departures
2019_05_01,4145,no departures
2019_05_01,4173,no departures
2019_05_01,4127,no departures
2019_05_01,4111,no departures
2019_05_01,4181,no departures
2019_05_01,4175,no departures
2019_05_01,A90,empty file
2019_05_01,4143,no departures
2019_05_01,5455,no departures
2019_05_01,4117,no departures
2019_05_01,4119,no departures
2019_05_01,4121,no departures
2019_05_02,4175,no departures
2019_05_02,4143,no departures
2019_05_02,5401,no departures
2019_05_02,4117,no departures
2019_05_02,4119,no departures
2019_05_02,4121,no departures
2019_05_02,4145,no departures
2019_05_02,3704,no departures
2019_05_02,4173,no departures
2019_05_02,4127,no departures
2019_05_02,4111,no departures
2019_05_02,5454,no departures
2019_05_02,A639,empty file
2019_05_02,4133,no departures
2019_05_02,4105,no departures
2019_05_02,4169,no departures
2019_05_02,4151,no departures
2019_05_02,4167,no departures
2019_05_02,4135,no departures
2019_05_02,4161,no departures
2019_05_02,4398,empty file
2019_05_02,4159,no departures
2019_05_02,4157,no departures
2019_05_02,3297,empty file
2019_05_02,5451,no departures
2019_05_02,4113,no departures
2019_05_02,4125,no departures
2019_05_02,4171,no departures
2019_05_02,4149,no departures
2019_05_02,4147,no departures
2019_05_02,4123,no departures
2019_05_02,4115,no departures
2019_05_02,4141,no departures
2019_05_02,4183,no departures
2019_05_02,4155,no departures
2019_05_02,4163,no departures
2019_05_02,4137,no departures
2019_05_02,4139,no departures
2019_05_02,4165,no departures
2019_05_02,4153,no departures
2019_05_02,4107,no departures
2019_05_02,4109,no departures
2019_05_02,4131,no departures
2019_05_02,3293,empty file
2019_05_03,4111,no departures
2019_05_03,4127,no departures
2019_05_03,4173,no departures
2019_05_03,4145,no departures
2019_05_03,4121,no departures
2019_05_03,4119,no departures
2019_05_03,4117,no departures
2019_05_03,4143,no departures
2019_05_03,4175,no departures
2019_05_03,4181,no departures
2019_05_03,0453,no departures
2019_05_03,A20,no departures
2019_05_03,3297,empty file
2019_05_03,4157,no departures
2019_05_03,4159,no departures
2019_05_03,4161,no departures
2019_05_03,4135,no departures
2019_05_03,4103,no departures
2019_05_03,5441,no departures
2019_05_03,4167,no departures
2019_05_03,4151,no departures
2019_05_03,4169,no departures
2019_05_03,4105,no departures
2019_05_03,4133,no departures
2019_05_03,A639,empty file
2019_05_03,4177,no departures
2019_05_03,4141,no departures
2019_05_03,5404,no departures
2019_05_03,4179,no departures
2019_05_03,4115,no departures
2019_05_03,4123,no departures
2019_05_03,4147,no departures
2019_05_03,3708,no departures
2019_05_03,4149,no departures
2019_05_03,4171,no departures
2019_05_03,4125,no departures
2019_05_03,5451,no departures
2019_05_03,4113,no departures
2019_05_03,3293,empty file
2019_05_03,4131,no departures
2019_05_03,4109,no departures
2019_05_03,1647,missing state
2019_05_03,4107,no departures
2019_05_03,4153,no departures
2019_05_03,4165,no departures
2019_05_03,4139,no departures
2019_05_03,4101,no departures
2019_05_03,4137,no departures
2019_05_03,4163,no departures
2019_05_03,4155,no departures
2019_05_04,A639,empty file
2019_05_04,4227,no departures
2019_05_04,4229,no departures
2019_05_04,4245,no departures
2019_05_04,4273,no departures
2019_05_04,3297,empty file
2019_05_04,4219,no departures
2019_05_04,0440,empty file
2019_05_04,4221,no departures
2019_05_04,4275,no departures
2019_05_04,5534,no departures
2019_05_04,4243,no departures
2019_05_04,4261,no departures
2019_05_04,4259,no departures
2019_05_04,4257,no departures
2019_05_04,4235,no departures
2019_05_04,4269,no departures
2019_05_04,4267,no departures
2019_05_04,5510,no departures
2019_05_04,4233,no departures
2019_05_04,4279,no departures
2019_05_04,4241,no departures
2019_05_04,4277,no departures
2019_05_04,4223,no departures
2019_05_04,4271,no departures
2019_05_04,7632,no departures
2019_05_04,4247,no departures
2019_05_04,4225,no departures
2019_05_04,4231,no departures
2019_05_04,4265,no departures
2019_05_04,5524,no departures
2019_05_04,4253,no departures
2019_05_04,4237,no departures
2019_05_04,4201,no departures
2019_05_04,4255,no departures
2019_05_04,4263,no departures
2019_05_04,4780,empty file
2019_05_05,4243,no departures
2019_05_05,4221,no departures
2019_05_05,7201,empty file
2019_05_05,4219,no departures
2019_05_05,7801,empty file
2019_05_05,5503,empty file
2019_05_05,1701,empty file
